movie_id,real_budget,real_revenue,real_profit,is_profitable,is_sequel,is_blockbuster_season,runtime,star,director,writer,rating,country,vote_count,score,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,theme_agent,theme_american,theme_brother,theme_car,theme_city,theme_daughter,theme_death,theme_director,theme_drug,theme_family,theme_father,theme_finds,theme_friend,theme_friends,theme_help,theme_high,theme_love,theme_mother,theme_murder,theme_old,theme_police,theme_relationship,theme_school,theme_secret,theme_son,theme_town,theme_true,theme_war,theme_wife,theme_years
28 days,78333914.05342625,113308995.6242741,34975081.570847854,1,0,0,103.0,Sandra Bullock,Betty Thomas,Susannah Grant,PG-13,United States,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 days later...,13639130.434782607,146143938.9918478,132504808.5570652,1,0,0,113.0,Cillian Murphy,Danny Boyle,Alex Garland,R,United Kingdom,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 weeks later,22698986.97539797,98435939.64592376,75736952.67052579,1,0,0,100.0,Jeremy Renner,Juan Carlos Fresnadillo,Rowan Joffe,R,United Kingdom,5410.0,6.608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3 days to kill,37108576.256865226,51633800.7182087,14525224.461343475,1,0,0,117.0,Kevin Costner,McG,Adi Hasak,PG-13,United States,1279.0,6.107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,2,1
3 ninjas,14533499.643620811,64842440.653599426,50308941.009978615,1,0,0,84.0,Victor Wong,Jon Turteltaub,Kenny Kim,PG,United States,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 ninjas kick back,42334682.86099865,24975037.11066127,-17359645.750337385,0,0,0,93.0,Victor Wong,Charles T. Kanganis,Sang-ok Shin,PG,United States,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-iron,1660667.019587083,5652839.125992588,3992172.106405505,1,0,0,88.0,Seung-Yun Lee,Kim Ki-duk,Kim Ki-duk,R,South Korea,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 days of night,45397973.95079594,114271497.48673418,68873523.53593823,1,0,0,113.0,Josh Hartnett,David Slade,Steve Niles,R,United States,3003.0,6.432,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
30 minutes or less,39055580.25789239,57142102.30858159,18086522.050689198,1,0,0,83.0,Jesse Eisenberg,Ruben Fleischer,Michael Diliberti,R,United States,825.0,5.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,98362276.8933912,690152380.0274963,591790103.1341051,1,0,0,117.0,Gerard Butler,Zack Snyder,Zack Snyder,R,United States,14553.0,7.194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
